text,og_label,LABEL
When I remember her I feel down,Emotional pain,Neurological & General Symptoms
When I carry heavy things I feel like breaking my back,Hair falling out,Dermatological & Skin Conditions
there is too much pain when i move my arm,Heart hurts,Chronic Conditions
My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,Infected wound,Infections
My muscles in my lower back are aching,Infected wound,Infections
"i have muscle pain that my back
I Have Muscle Pain at my back leg",Foot ache,Pain-related Conditions
I have muscle pain in my left leg,Shoulder pain,Pain-related Conditions
I have cut my finger because of playing football and I have to apply pain relief cream but it does not help,Injury from sports,Trauma/Injuries
I have acne in my face and other problems in my derma like itching,Skin issue,Dermatological & Skin Conditions
I have a strange rash on my arm,Foot ache,Pain-related Conditions
I have a sharp pain in my lower stomach.,Stomach ache,Gastrointestinal Conditions
i have a knee pain when i walk a lot,Knee pain,Pain-related Conditions
dr. I feel a strange and powerful pain inside my rib cage,Heart hurts,Chronic Conditions
Don't cry,Joint pain,Pain-related Conditions
I have for dia,Heart hurts,Chronic Conditions
"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",Hard to breath,Respiratory & Sensory Issues
i feel that it's hard to breath for me specially after running or making any effort,Hard to breath,Respiratory & Sensory Issues
I read a book for along time and when I finished reading I feel head ache,Head ache,Pain-related Conditions
i cant sleep because of cold,Injury from sports,Trauma/Injuries
My infected wound cause fever,Skin issue,Dermatological & Skin Conditions
I lose a lot of my hair,Body feels weak,Neurological & General Symptoms
i feel dizzy after severe diarrhea,Feeling dizzy,Neurological & General Symptoms
I feel a pain in my back,Back pain,Pain-related Conditions
"Laceration, rupture or opening in the skin",Open wound,Infections
My back hurts me and i can't bend it or walk,Back pain,Pain-related Conditions
My head hurts whenever I try to do something.,Head ache,Pain-related Conditions
I have dark spots on my skin,Skin issue,Dermatological & Skin Conditions
I feel a sharp pain in my stomach,Internal pain,Pain-related Conditions
I can't do anything I feel a weak in my body,Body feels weak,Neurological & General Symptoms
I have cloudy eyes,Blurry vision,Respiratory & Sensory Issues
I have a back pain since I turned 70 years old.,Back pain,Pain-related Conditions
I tried to put my glasses to see more clear but cant find any change,Blurry vision,Respiratory & Sensory Issues
I feel deep Tingling when I touch Acne followed by bad sensation,Acne,Dermatological & Skin Conditions
My acne gets worse when it is hot,Acne,Dermatological & Skin Conditions
Sometimes I feel like a claw on my chest that leaves me breathless.,Hard to breath,Respiratory & Sensory Issues
my abdominal muscles have great pain since i was at GYM,Muscle pain,Pain-related Conditions
My back got injured while i was lifting at the gym,Injury from sports,Trauma/Injuries
my ankle is hurting me,Joint pain,Pain-related Conditions
