phrase,translated_phrase,back_translated
"I have been feeling excessively hungry, even after eating, and have had a stiff neck.",即使在进食后，我也感到过度饥饿，脖子僵硬。,"Even after eating, I felt over-hungry and my neck was stiff."
"I've been terribly constipated lately, and when I do go to the bathroom, it hurts a lot. Aside from that, my anus has been really itchy, and I've observed some blood in my stool.",我最近很便秘，当我去洗手间时，这会很痛苦。除此之外，我的肛门真的很发痒，我在凳子上观察到一些血液。,"I've been constipated lately and it can be painful when I go to the bathroom. Apart from that, my anus was really itchy and I observed some blood on the stool."
"I have noticed that the blood vessels in my legs are getting more noticeable than usual. It is a little concerning to me. Moreover, I am experiencing cramps every day.",我注意到我腿上的血管比平常变得更加明显。这对我来说有点关心。而且，我每天都会经历抽筋。,"I noticed that the blood vessels on my legs became more visible than usual. This is a bit of concern to me. Moreover, I experience cramps every day."
The pain in my calves is constant and becomes worse when I stand or walk for long periods of time. I am getting constant cramps and can't run for longer periods of time.,我的小腿的疼痛是恒定的，当我长时间站立或行走时会变得更糟。我会持续不断抽筋，无法跑步更长的时间。,The pain in my calf is constant and it gets worse when I stand or walk for a long time. I'll keep cramping and can't run for longer.
My sore isn't healing well and it's been like this for two weeks.,我的酸痛没有很好地愈合，这已经有两个星期了。,"My soreness hasn't healed well, it's been two weeks now."
"Frequent urges to urinate with little output, pain during urination, cloudy or bloody urine, strong or foul-smelling urine, pelvic pain, low fever, nausea and vomiting",经常敦促小便，输出很少，排尿期间疼痛，多云或血腥的尿液，强烈或臭尿液，骨盆疼痛，低烧，恶心和呕吐,"Urine is often urged, with very little output, painful during urination, cloudy or bloody urine, intense or smelly urine, pelvic pain, low fever, nausea and vomiting"
I wake up at night feeling cold,我晚上醒来感到很冷,I woke up at night and felt very cold
"Vertigo, hearing loss, tinnitus, ear fullness",眩晕，听力损失，耳鸣，耳朵饱满,"Dizziness, hearing loss, tinnitus, full ears"
"I've been throwing up and experiencing intense itching. Along with losing weight, I'm also really exhausted. My skin has become yellow, and my fever is really high. I've been having stomach pain and my pee is black.",我一直在吐，经历着强烈的瘙痒。除了减肥之外，我也真的很精疲力尽。我的皮肤变黄了，发烧真的很高。我一直在胃痛，小便是黑色的。,"I've been vomiting, experiencing intense itching. Besides losing weight, I was really exhausted. My skin turned yellow and my fever was really high. I've been having stomachache and my urine is black."
I have a lot of mucus when I cough.,咳嗽时，我有很多粘液。,I have a lot of mucus when I cough.
"It feels like food or acid is backing up in my throat. My chest discomfort only becomes worse while I'm lying down. After eating, I frequently have heartburn or indigestion and throw up.",感觉就像食物或酸在我的喉咙里备份。我躺下时，我的胸部不适只会变得更糟。进食后，我经常胃灼热或消化不良并吐出来。,"It feels like food or sour is backing up in my throat. My chest discomfort only gets worse when I lay down. After eating, I often feel heartburn or indigestion and vomit."
My shoulder aches when I try to lift five pounds.,当我试图抬起五磅时，我的肩膀会酸痛。,My shoulders get sore when I try to lift five pounds.
The headache I have been experiencing is severe and is accompanied by a feeling of pressure in my head. I have mild fever along with headache. There are small red spots on my back.,我一直遇到的头痛很严重，伴随着我的脑海中的压力。我的头痛轻度发烧。我的背上有小红色斑点。,"The headache I've been having is very severe, accompanied by the stress in my mind. My headache is mild and fever. I have small red spots on my back."
"I have been experiencing chills and fever, along with severe abdominal pain. I've been feeling really miserable overall, and I just can't seem to shake these symptoms.",我一直在经历寒冷和发烧，以及严重的腹痛。总体而言，我一直感到真的很痛苦，而且我似乎无法动摇这些症状。,"I've been experiencing cold and fever, as well as severe abdominal pain. Overall, I've been feeling really painful and I can't seem to shake the symptoms."
